Repository Fork?,Repository Forks Count,Repository Issues enabled?,Repository Wiki enabled?,Repository Pages enabled?,Repository Open Issues Count,Repository Readme filename,Repository Changelog filename,Repository Contributing guidelines filename,Repository License filename,Repository Code of Conduct filename,Repository Stars Count
0,0.004419376,1,1,1,0.00905592,1,0,0,1,0,499
0,0.000395508,1,1,0,0.000452796,0,0,0,0,0,54
0,0.000894193,1,1,0,0.006112746,1,1,0,1,0,236
0,6.88E-05,1,1,0,0.000226398,1,0,0,1,0,15
0,1.72E-05,1,0,0,0.000226398,1,0,0,1,0,18
0,0.000137568,1,1,0,0.00113199,1,0,0,1,0,18
0,0.001289701,1,1,0,0.013357482,1,1,0,1,0,917
0,1.72E-05,1,1,1,0.000226398,1,0,0,0,0,15
0,0.000223548,1,1,0,0.000679194,1,0,0,1,0,102
0,0.000395508,1,1,0,0.000905592,1,1,0,1,0,25
0,0.000808213,1,1,0,0.000226398,1,0,0,1,0,199
0,0.000309528,1,1,0,0.001358388,1,0,0,1,0,15
0,8.60E-05,1,1,1,0.000226398,1,1,0,1,0,228
0,0.002235482,1,0,0,0.004075164,1,0,0,1,0,176
0,0.000292332,1,1,0,0.00905592,1,0,0,1,0,17
0,0.000120372,1,1,0,0.000226398,1,0,0,1,0,32
0,0.000378312,0,0,0,0.000226398,1,1,1,1,0,30
0,0.001478857,1,0,0,0.000452796,1,0,0,1,0,525
0,6.88E-05,1,1,0,0.000226398,1,0,0,1,0,11
0,0.000120372,1,0,0,0.000679194,1,0,0,1,0,30
0,0.001805582,1,1,0,0.002716776,1,0,0,1,0,164
0,0.000137568,1,0,0,0.000452796,1,0,0,0,0,10
0,0.000533077,1,1,0,0.006339144,1,1,0,1,0,89
0,8.60E-05,1,1,0,0.000226398,1,0,0,1,0,23
0,0.011211803,1,1,0,0.050939552,1,0,0,1,0,221
0,0.000206352,1,1,0,0.000679194,1,0,0,1,0,17
0,0.000447096,1,1,1,0.007471134,1,1,0,1,0,68
0,6.88E-05,1,1,0,0.000905592,1,0,0,1,0,20
0,0.000292332,1,1,0,0.003622368,1,1,0,0,0,70
0,0.002562207,1,1,1,0.00905592,0,0,0,0,0,1398
0,0.000206352,1,0,0,0.000905592,1,0,0,1,0,13
0,0.000154764,1,1,0,0.000905592,1,0,0,1,0,516
0,0.000189156,1,1,0,0.000226398,1,1,0,1,0,15
0,0.001066153,1,0,0,0.001584786,1,0,1,1,0,24
0,6.88E-05,1,1,1,0.005886348,1,0,0,1,1,30
0,0.000103176,1,1,0,0.007018338,1,0,0,1,0,61
0,0.001375681,1,1,0,0.002716776,1,1,1,1,0,779
0,3.44E-05,1,1,0,0,1,0,0,0,0,10
1,0.000189156,1,0,1,0.000679194,1,1,1,1,0,50
0,5.16E-05,1,1,0,0.00905592,1,1,0,1,0,85
0,0.000206352,1,1,0,0.000226398,1,0,0,1,0,33
0,0.000120372,1,1,0,0.000905592,1,0,0,1,0,82
0,0.001289701,1,1,0,0.00113199,1,0,0,1,0,256
0,1.72E-05,1,1,1,0,1,0,0,1,0,12
0,0.000206352,1,1,1,0.002490378,1,1,0,1,0,21
0,8.60E-05,1,1,0,0.000452796,1,0,0,1,0,16
0,3.44E-05,1,1,0,0.000452796,1,1,1,1,1,12
0,0.012621877,1,1,0,0.003169572,1,0,0,1,0,1620
0,0.000791017,1,1,0,0.0113199,1,0,0,1,0,10
0,8.60E-05,1,0,0,0.000452796,1,0,0,1,0,90
0,0.000189156,1,0,0,0.001584786,1,0,0,1,0,50
0,0.000756625,1,0,0,0.004754358,1,1,0,1,0,92
0,0.003731536,1,1,0,0.009282318,1,1,0,1,0,896
0,3.44E-05,1,1,0,0.016753453,1,0,0,1,0,12
0,0.001702406,1,0,0,0.002037582,1,0,1,1,0,848
0,5.16E-05,1,1,0,0.000226398,1,0,0,1,0,15
0,0.000120372,1,1,1,0.000679194,1,0,0,1,0,13
1,0.000137568,1,1,1,0.000679194,1,0,0,1,0,26
0,0.007273915,1,1,0,0.029431741,1,1,1,1,1,509
0,3.44E-05,1,1,0,0.000226398,1,0,0,1,0,11
0,0.000189156,1,1,0,0.000226398,1,0,0,1,0,43
0,0.000275136,1,1,0,0.000679194,1,1,0,1,0,22
0,0.000395508,1,1,0,0.001358388,1,0,0,0,0,38
0,1.72E-05,1,1,0,0,1,1,0,1,0,17
0,5.16E-05,1,0,0,0.001358388,1,0,0,1,0,57
0,0.0004299,1,1,1,0.000226398,1,0,0,1,0,72
0,0.000275136,1,1,0,0.000679194,1,0,0,0,0,87
0,0.000154764,1,0,0,0.001584786,1,0,0,1,0,19
0,6.88E-05,1,1,0,0.00226398,1,0,0,1,0,15
0,0.001616426,1,1,0,0.009961512,1,1,0,0,0,54
0,8.60E-05,1,1,1,0.000905592,1,0,0,1,0,13
0,0.000292332,1,1,1,0.001358388,1,0,0,1,0,44
0,0.000103176,1,1,1,0.00113199,1,0,0,1,0,164
0,0.004161436,1,1,0,0.01358388,1,0,1,1,0,520
0,0.000103176,1,1,0,0.000452796,1,0,0,1,0,28
0,0.000275136,1,1,1,0.020602219,1,0,1,1,0,73
0,0.000584665,1,1,0,0.002943174,1,0,0,0,0,455
0,0.00017196,1,1,0,0.001584786,1,1,0,0,0,30
0,0.000189156,1,0,0,0.00339597,1,0,0,0,0,78
0,6.88E-05,1,1,0,0.000226398,1,0,0,0,0,20
0,0.000601861,1,1,0,0,1,0,0,1,0,299
0,0.000223548,1,1,0,0.000679194,1,1,0,1,0,23
0,0.000515881,1,1,0,0.003169572,1,0,0,1,0,12
0,1.72E-05,1,0,0,0.000226398,1,0,0,1,0,19
0,0.005846646,1,1,1,0.018791035,1,0,1,1,0,891
0,0.000189156,1,1,0,0,1,0,0,1,0,25
0,0.000498685,1,1,0,0.002490378,1,0,0,1,0,76
0,0.000722233,1,1,1,0.001584786,1,1,0,1,0,182
0,0.000206352,1,1,0,0.001811184,1,1,0,1,0,135
0,6.88E-05,1,1,0,0.000452796,1,0,0,1,0,15
0,0.000206352,1,1,0,0.000226398,1,0,0,1,0,20
0,0.001496054,1,1,0,0.005207154,1,0,0,1,0,14
0,0.000773821,1,1,0,0.00226398,1,1,0,1,0,163
0,0.000756625,1,1,1,0.00113199,1,1,0,1,0,32
0,6.88E-05,1,0,1,0.002037582,1,1,1,1,0,21
0,0,1,1,0,0,1,0,0,0,0,16
0,8.60E-05,1,1,0,0.000226398,0,0,0,0,0,35
0,8.60E-05,1,1,0,0,1,0,0,1,0,40
0,8.60E-05,1,1,1,0,1,0,0,1,0,13
0,6.88E-05,1,1,0,0.001811184,1,0,0,1,0,22
0,0.00025794,1,1,1,0.000452796,1,0,0,1,0,42
0,0.000189156,1,1,0,0.002037582,1,0,0,1,0,81
0,0.000103176,1,0,0,0.000452796,1,0,0,0,0,12
0,6.88E-05,1,1,0,0,1,1,0,1,0,37
0,0.000120372,1,1,0,0.000226398,1,0,0,1,0,17
0,0.00034392,1,1,0,0.000226398,1,0,0,1,0,60
0,0.000137568,1,1,0,0.002716776,1,1,0,1,0,13
0,0.026808591,1,1,0,0.115462984,1,0,1,1,0,6152
0,3.44E-05,1,1,1,0,1,0,0,1,0,34
0,0.000206352,1,1,0,0.001358388,1,0,0,1,0,33
0,5.16E-05,1,1,0,0.000226398,1,0,0,1,0,32
0,0.000223548,1,0,1,0.002490378,1,1,1,1,1,19
0,8.60E-05,1,1,0,0,1,0,0,1,0,19
0,1.72E-05,1,1,0,0,1,0,0,0,0,32
0,0.00034392,1,1,0,0.001811184,1,0,0,1,0,37
0,0.0004299,1,1,0,0,1,1,0,1,0,91
0,0.000223548,1,1,0,0.000226398,1,0,0,1,0,18
0,0.026808591,1,1,0,0.115462984,1,0,1,1,0,6152
0,0.00025794,1,1,0,0.000905592,1,0,1,1,0,16
0,0.004023868,1,1,0,0.016753453,1,0,1,1,0,67
0,3.44E-05,1,1,1,0,1,0,0,1,0,11
0,0.000240744,1,1,0,0.005433552,1,0,0,1,0,56
0,0.004161436,1,1,0,0.01358388,1,0,1,1,0,520
0,0.000292332,1,1,0,0.00113199,1,1,0,1,0,30
0,0.008838753,1,1,0,0.038034865,1,0,0,1,0,2316
0,0.000292332,1,1,0,0.000226398,1,0,0,1,0,97
0,0.000154764,1,0,0,0.001358388,1,0,0,1,0,57
0,3.44E-05,1,1,0,0.000226398,1,0,0,1,0,13
0,0.00017196,1,1,0,0,1,0,0,0,0,13
0,8.60E-05,1,1,0,0.00113199,1,0,0,1,0,15
0,0.0004299,1,1,0,0.001358388,1,0,0,0,0,115
0,0.001427269,1,1,0,0.00339597,1,1,0,1,0,170
0,0.001496054,1,0,1,0.019696627,1,0,1,1,0,317
0,0.000223548,1,1,0,0.000452796,1,0,0,1,0,73
0,0.000481488,1,1,0,0.001811184,1,0,0,1,0,63
0,0.000567469,1,1,0,0.000905592,1,0,0,1,0,148
0,0.000137568,1,1,0,0.00113199,1,0,0,1,0,15
0,5.16E-05,1,1,0,0.000452796,1,0,0,1,0,10
0,0.0004299,1,1,0,0.004301562,1,1,0,1,0,75
0,0.034185683,1,0,0,0.213493321,1,1,1,1,0,21356
0,0.000206352,1,1,0,0,1,0,0,1,0,17
0,0.000309528,0,0,1,0,1,0,0,0,0,15
1,0.002252678,1,0,1,0.031695721,1,1,0,0,0,811
0,3.44E-05,1,0,0,0,1,0,0,0,0,43
0,0.004127044,1,1,1,0.004301562,1,0,0,1,0,6793
0,0.000464292,1,1,0,0.00113199,1,0,0,1,0,57
0,0.003765928,1,1,0,0.016074259,1,0,0,1,0,69
0,0.000103176,1,1,0,0,1,0,0,0,0,21
0,0.000601861,1,1,0,0.00452796,1,0,0,0,0,35
0,0.000275136,1,1,1,0.000226398,1,0,0,1,0,441
0,0.000154764,1,0,0,0.001584786,1,1,0,1,0,21
0,0.000275136,1,0,1,0.003622368,1,0,0,0,0,324
0,5.16E-05,1,1,0,0.000226398,1,0,0,0,0,22
0,0.000103176,1,1,0,0,1,0,0,1,0,14
0,0.00025794,1,1,1,0.00452796,1,0,0,1,0,127
0,0.000584665,1,0,1,0.002716776,1,0,0,1,0,229
0,0.000447096,1,1,0,0.001358388,1,1,0,1,0,60
0,0.000309528,1,1,0,0,1,0,0,1,0,62
0,0.000189156,1,1,0,0.000226398,1,0,0,1,0,87
0,0.013223737,0,0,0,0.001811184,1,1,0,1,0,2572
0,0.00017196,1,1,0,0.001584786,1,0,0,1,0,19
0,0.000206352,1,1,0,0.000679194,1,0,0,1,0,78
0,0.000189156,1,1,1,0.014036676,1,0,0,1,0,20
0,0.015098103,1,0,1,0.026714965,1,1,0,1,0,4534
0,8.60E-05,1,0,0,0.000679194,1,0,0,1,0,21
0,8.60E-05,1,1,0,0.001584786,1,0,0,0,0,11
0,0.000103176,1,1,0,0.000679194,1,0,0,1,0,19
0,0.000275136,1,1,0,0.002037582,1,1,1,1,0,75
0,0.000189156,1,1,0,0.00113199,1,0,0,1,0,115
0,5.16E-05,1,1,0,0,1,0,0,1,0,27
